5.00000e-08 1.14594e-06 7.35915e-07
1.90000e-07 1.36488e-06 2.03851e-07
5.00000e-06 9.83883e-07 9.17041e-07
8.20000e-08 1.24425e-06 6.25933e-07
7.00000e-08 1.19324e-06 6.87302e-07
1.35000e-07 2.64699e-07 1.31623e-06
2.05000e-07 1.30917e-06 2.37690e-07
2.57000e-07 1.06892e-06 8.14205e-07
1.52000e-07 1.33371e-06 7.18819e-08
7.20000e-08 1.20230e-06 6.77475e-07
1.37000e-07 3.14607e-07 1.30878e-06
1.10000e-07 4.26391e-07 1.27998e-06
8.70000e-08 1.27450e-06 5.84610e-07
2.50000e-08 1.10565e-06 7.74897e-07
2.62000e-07 1.06931e-06 8.17959e-07
1.55000e-07 1.20309e-07 1.39791e-07
2.50000e-07 1.06043e-06 8.18190e-07
3.00000e-06 9.86180e-07 9.15614e-07
2.67000e-07 1.07265e-06 8.16140e-07
1.20000e-07 3.84685e-07 1.28854e-06
1.57000e-07 1.30370e-06 7.67263e-08
1.62000e-07 7.30283e-08 1.29088e-06
8.00000e-08 1.23222e-06 6.42278e-07
2.47000e-07 1.05625e-06 8.20531e-07
2.55000e-07 1.06658e-06 8.15261e-07
2.42000e-07 1.04065e-06 8.30662e-07
1.00000e-06 1.02836e-06 8.74970e-07
1.60000e-07 2.81062e-08 1.31482e-06
1.42000e-07 1.31849e-06 1.18661e-07
3.00000e-07 1.08243e-06 8.10835e-07
2.52000e-07 1.06378e-06 8.16564e-07
2.45000e-07 1.05065e-06 8.23940e-07
5.00000e-07 1.06804e-06 8.31682e-07
2.60000e-07 1.06923e-06 8.16045e-07
8.50000e-08 1.25855e-06 6.07144e-07
7.50000e-08 1.21107e-06 6.68322e-07
1.12000e-07 4.57101e-07 1.26895e-06
2.70000e-07 1.07404e-06 8.15392e-07
1.27000e-07 3.46415e-07 1.29891e-06
9.50000e-08 5.20707e-07 1.27314e-06
8.00000e-07 1.04075e-06 8.62096e-07
2.65000e-07 1.07109e-06 8.16983e-07
7.70000e-08 1.22106e-06 6.55711e-07
1.05000e-07 4.42253e-07 1.27861e-06
